wordnv,acronym,posnv,tag,meaning,category,taxonomy_l1,taxonomy_l2,taxonomy_l3
hypothesis space,Nill,NOUN,TN,set of all possible hypotheses a learning algorithm can output,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
image recognition,Nill,NOUN,TN,identifying objects or features in digital images,TN-14 Names of vision and perception tasks,Vision,Perception,General
image segmentation,Nill,NOUN,TN,partitioning an image into meaningful segments,TN-14 Names of vision and perception tasks,Vision,Perception,General
imitation learning,Nill,NOUN,TN,learning by observing expert demonstrations,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
incremental learning,Nill,NOUN,TN,learning continuously from new data without forgetting,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
inductive bias,Nill,NOUN,TN,assumptions used by learners to generalize from training data,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
inductive logic programming,ILP,NOUN,TN,machine learning using logic programming representations,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
inference,Nill,NOUN,TN,deriving conclusions from premises using reasoning,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
inference engine,Nill,NOUN,TN,component applying rules to knowledge base for conclusions,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
information extraction,Nill,NOUN,TN,extracting structured information from unstructured text,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
information gain,Nill,NOUN,TN,measure of information obtained about a variable,TN-09 Metrics units and computational measures,Metrics,Evaluation,General
information retrieval,Nill,NOUN,TN,obtaining relevant information from large collections,TN-01 General AI concepts and terminology,Concepts,General,Terminology
instance-based learning,Nill,NOUN,TN,learning by comparing new instances to stored examples,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
intelligent agent,Nill,NOUN,TN,an entity perceiving environment and acting to achieve goals,TN-01 General AI concepts and terminology,Concepts,General,Terminology
intelligent control,Nill,NOUN,TN,control systems using AI techniques,TN-01 General AI concepts and terminology,Concepts,General,Terminology
interpretability,Nill,NOUN,TN,degree to which humans can understand model decisions,TN-01 General AI concepts and terminology,Concepts,General,Terminology
inverse reinforcement learning,IRL,NOUN,TN,inferring reward function from observed behavior,TN-01 General AI concepts and terminology,Concepts,General,Terminology
k-means clustering,Nill,NOUN,TN,partitioning n observations into k clusters,TN-01 General AI concepts and terminology,Concepts,General,Terminology
k-nearest neighbors,KNN,NOUN,TN,classification based on majority vote of k nearest training examples,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
kernel method,Nill,NOUN,TN,algorithms using kernel functions for pattern analysis,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
knowledge acquisition,Nill,NOUN,TN,extracting knowledge from human experts,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
knowledge base,Nill,NOUN,TN,a repository of complex structured and unstructured information,TN-01 General AI concepts and terminology,Concepts,General,Terminology
knowledge engineering,Nill,NOUN,TN,integrating knowledge into computer systems,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
knowledge graph,Nill,NOUN,TN,a graph representing knowledge as entities and relationships,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
knowledge representation,Nill,NOUN,TN,representing information for use by AI systems,TN-01 General AI concepts and terminology,Concepts,General,Terminology
language model,LM,NOUN,TN,probabilistic model assigning probabilities to word sequences,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
large language model,LLM,NOUN,TN,language model with billions of parameters trained on massive text,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
latent space,Nill,NOUN,TN,a representation space capturing underlying data structure,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
latent variable,Nill,NOUN,TN,a variable not directly observed but inferred,TN-01 General AI concepts and terminology,Concepts,General,Terminology
lazy learning,Nill,NOUN,TN,deferring generalization until a query is made,TN-01 General AI concepts and terminology,Concepts,General,Terminology
learning rate,Nill,NOUN,TN,hyperparameter controlling step size in gradient descent,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
learning to rank,Nill,NOUN,TN,machine learning for ranking items,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
levenshtein distance,Nill,NOUN,TN,minimum edits needed to transform one string to another,TN-01 General AI concepts and terminology,Concepts,General,Terminology
linear regression,Nill,NOUN,TN,modeling relationship between variables with linear equation,TN-01 General AI concepts and terminology,Concepts,General,Terminology
lisp,LISP,NOUN,TN,programming language favored historically for AI research,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
local minimum,Nill,NOUN,TN,a point lower than neighbors but not globally lowest,TN-01 General AI concepts and terminology,Concepts,General,Terminology
local search,Nill,NOUN,TN,optimization moving from solution to solution locally,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
logic programming,Nill,NOUN,TN,programming using formal logic,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
logical reasoning,Nill,NOUN,TN,deriving conclusions from premises using logic,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
long short-term memory,LSTM,NOUN,TN,RNN architecture capable of learning long-term dependencies,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
loss function,Nill,NOUN,TN,function measuring how well predictions match actual values,TN-01 General AI concepts and terminology,Concepts,General,Terminology
machine ethics,Nill,NOUN,TN,ensuring machines behave in morally acceptable ways,TN-01 General AI concepts and terminology,Concepts,General,Terminology
machine learning,ML,NOUN,TN,algorithms that improve automatically through experience,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
machine listening,Nill,NOUN,TN,analyzing and understanding audio signals,TN-01 General AI concepts and terminology,Concepts,General,Terminology
machine perception,Nill,NOUN,TN,ability of machines to interpret sensory data,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
machine translation,MT,NOUN,TN,automatic translation between natural languages,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
machine vision,Nill,NOUN,TN,using cameras and computers for industrial inspection,TN-01 General AI concepts and terminology,Concepts,General,Terminology
markov chain,Nill,NOUN,TN,stochastic process with memoryless property,TN-01 General AI concepts and terminology,Concepts,General,Terminology
markov decision process,MDP,NOUN,TN,mathematical framework for sequential decision making,TN-03 Names of tools and compute infrastructure their parts and configurations,Equipment,Software,General
mathematical optimization,Nill,NOUN,TN,selecting best element from a set of alternatives,TN-01 General AI concepts and terminology,Concepts,General,Terminology
maximum likelihood estimation,MLE,NOUN,TN,estimating parameters by maximizing likelihood,TN-01 General AI concepts and terminology,Concepts,General,Terminology
mean squared error,MSE,NOUN,TN,average of squared differences between predicted and actual,TN-01 General AI concepts and terminology,Concepts,General,Terminology
meta-learning,Nill,NOUN,TN,learning to learn improving learning algorithm itself,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
minimax algorithm,Nill,NOUN,TN,algorithm minimizing possible loss in worst case scenario,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
model compression,Nill,NOUN,TN,reducing model size while maintaining performance,TN-01 General AI concepts and terminology,Concepts,General,Terminology
model selection,Nill,NOUN,TN,choosing the best model from candidates,TN-01 General AI concepts and terminology,Concepts,General,Terminology
monte carlo method,Nill,NOUN,TN,computational algorithms relying on random sampling,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
monte carlo tree search,MCTS,NOUN,TN,heuristic search using random sampling for decisions,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
morphological analysis,Nill,NOUN,TN,analyzing word structure and forms,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
multi-agent system,MAS,NOUN,TN,system composed of multiple interacting intelligent agents,TN-12 Names of agents and robotic systems,Systems,Robotics,General
multi-layer perceptron,MLP,NOUN,TN,feedforward neural network with multiple hidden layers,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
multimodal learning,Nill,NOUN,TN,learning from multiple data modalities simultaneously,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
mutation,Nill,NOUN,TN,genetic operator introducing random changes,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
naive bayes classifier,Nill,NOUN,TN,probabilistic classifier based on Bayes theorem with independence,TN-01 General AI concepts and terminology,Concepts,General,Terminology
named entity recognition,NER,NOUN,TN,identifying named entities in text,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
natural language generation,NLG,NOUN,TN,producing natural language text from data,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
natural language processing,NLP,NOUN,TN,enabling computers to understand and process human language,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
natural language understanding,NLU,NOUN,TN,comprehending meaning in natural language,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
neural architecture search,NAS,NOUN,TN,automating the design of neural network architectures,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
neural machine translation,NMT,NOUN,TN,machine translation using neural networks,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
neural network,NN,NOUN,TN,computing system inspired by biological neural networks,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
neural turing machine,NTM,NOUN,TN,neural network with external memory for computation,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
neuromorphic computing,Nill,NOUN,TN,computing inspired by biological brain structure,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
node,Nill,NOUN,TN,basic unit in neural networks or graph structures,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
noise,Nill,NOUN,TN,random variation in data obscuring signal,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
non-monotonic logic,Nill,NOUN,TN,logic where adding information can reduce conclusions,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
normalization,Nill,NOUN,TN,scaling data to a standard range,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
object detection,Nill,NOUN,TN,detecting instances of objects in images,TN-14 Names of vision and perception tasks,Vision,Perception,General
object recognition,Nill,NOUN,TN,identifying objects in images or videos,TN-14 Names of vision and perception tasks,Vision,Perception,General
objective function,Nill,NOUN,TN,function to be optimized in machine learning,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
offline learning,Nill,NOUN,TN,learning from fixed dataset without updates,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
one-hot encoding,Nill,NOUN,TN,representing categorical variables as binary vectors,TN-01 General AI concepts and terminology,Concepts,General,Terminology
one-shot learning,Nill,NOUN,TN,learning from a single training example,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
online learning,Nill,NOUN,TN,learning incrementally as data becomes available,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
ontology,Nill,NOUN,TN,formal representation of knowledge as concepts and relationships,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
open-domain question answering,Nill,NOUN,TN,answering questions from any domain,TN-01 General AI concepts and terminology,Concepts,General,Terminology
openai,Nill,NOUN,TN,AI research laboratory aiming to develop safe AGI,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
optical character recognition,OCR,NOUN,TN,converting images of text to machine-encoded text,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
optimization,Nill,NOUN,TN,finding best solution from all feasible solutions,TN-01 General AI concepts and terminology,Concepts,General,Terminology
overfitting,Nill,NOUN,TN,model performing well on training but poorly on new data,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
parameter,Nill,NOUN,TN,internal variable learned from training data,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
part-of-speech tagging,POS,NOUN,TN,labeling words with their grammatical categories,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
particle swarm optimization,PSO,NOUN,TN,optimization inspired by bird flocking behavior,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
pattern recognition,Nill,NOUN,TN,identifying patterns in data,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
perceptron,Nill,NOUN,TN,simplest type of artificial neural network,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
planning,Nill,NOUN,TN,generating action sequences to achieve goals,TN-01 General AI concepts and terminology,Concepts,General,Terminology
policy,Nill,NOUN,TN,mapping from states to actions in reinforcement learning,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
policy gradient,Nill,NOUN,TN,RL method optimizing policy directly using gradients,TN-01 General AI concepts and terminology,Concepts,General,Terminology
pooling,Nill,NOUN,TN,downsampling operation in convolutional neural networks,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
pre-training,Nill,NOUN,TN,training model on large dataset before fine-tuning,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
precision,Nill,NOUN,TN,ratio of true positives to all predicted positives,TN-01 General AI concepts and terminology,Concepts,General,Terminology
prediction,Nill,NOUN,TN,estimating future or unknown values from data,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
predictive analytics,Nill,NOUN,TN,using data and statistics to predict future outcomes,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
principal component analysis,PCA,NOUN,TN,dimensionality reduction using orthogonal transformation,TN-01 General AI concepts and terminology,Concepts,General,Terminology
probabilistic programming,Nill,NOUN,TN,programming with random variables and inference,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
prolog,PROLOG,NOUN,TN,logic programming language associated with AI,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
prompt engineering,Nill,NOUN,TN,designing input prompts to improve AI model outputs,TN-01 General AI concepts and terminology,Concepts,General,Terminology
pruning,Nill,NOUN,TN,removing unnecessary components to reduce model size,TN-01 General AI concepts and terminology,Concepts,General,Terminology
q-learning,Nill,NOUN,TN,model-free reinforcement learning algorithm,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
quantum computing,Nill,NOUN,TN,computation using quantum mechanical phenomena,TN-01 General AI concepts and terminology,Concepts,General,Terminology
quantum machine learning,QML,NOUN,TN,machine learning using quantum computers,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
question answering,QA,NOUN,TN,building systems that answer questions in natural language,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
radial basis function network,RBF,NOUN,TN,neural network using radial basis functions as activation,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
random forest,RF,NOUN,TN,ensemble of decision trees for classification and regression,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
recall,Nill,NOUN,TN,ratio of true positives to all actual positives,TN-01 General AI concepts and terminology,Concepts,General,Terminology
recognition,Nill,NOUN,TN,identifying objects or patterns from input data,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
recommender system,Nill,NOUN,TN,system predicting user preferences for items,TN-01 General AI concepts and terminology,Concepts,General,Terminology
rectified linear unit,ReLU,NOUN,TN,activation function outputting input if positive else zero,TN-01 General AI concepts and terminology,Concepts,General,Terminology
recurrent neural network,RNN,NOUN,TN,neural network with connections forming directed cycles,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
regression,Nill,NOUN,TN,predicting continuous numerical values,TN-01 General AI concepts and terminology,Concepts,General,Terminology
regularization,Nill,NOUN,TN,techniques preventing overfitting by adding constraints,TN-01 General AI concepts and terminology,Concepts,General,Terminology
reinforcement learning,RL,NOUN,TN,learning through interaction with environment using rewards,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
representation learning,Nill,NOUN,TN,learning representations that make subsequent learning easier,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
reservoir computing,Nill,NOUN,TN,computation framework using fixed random recurrent network,TN-03 Names of tools and compute infrastructure their parts and configurations,Equipment,Software,General
residual network,ResNet,NOUN,TN,neural network with skip connections,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
reward function,Nill,NOUN,TN,function specifying immediate reward for state-action pairs,TN-01 General AI concepts and terminology,Concepts,General,Terminology
robotics,Nill,NOUN,TN,engineering and science of designing robots,TN-12 Names of agents and robotic systems,Systems,Robotics,General
roc curve,Nill,NOUN,TN,plot showing true positive rate vs false positive rate,TN-01 General AI concepts and terminology,Concepts,General,Terminology
sample complexity,Nill,NOUN,TN,number of samples needed to learn a function accurately,TN-01 General AI concepts and terminology,Concepts,General,Terminology
sampling,Nill,NOUN,TN,selecting a subset of data for analysis,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
search algorithm,Nill,NOUN,TN,algorithm for finding solutions in a problem space,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
self-driving car,Nill,NOUN,TN,a vehicle capable of autonomous operation,TN-12 Names of agents and robotic systems,Systems,Robotics,General
self-supervised learning,SSL,NOUN,TN,learning from unlabeled data using pretext tasks,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
semantic analysis,Nill,NOUN,TN,analyzing meaning of text or code,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
semantic network,Nill,NOUN,TN,knowledge representation as nodes and semantic relations,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
semantic segmentation,Nill,NOUN,TN,classifying each pixel in an image,TN-14 Names of vision and perception tasks,Vision,Perception,General
semi-supervised learning,Nill,NOUN,TN,learning using both labeled and unlabeled data,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
sentiment analysis,Nill,NOUN,TN,determining emotional tone in text,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
sequence-to-sequence,Seq2Seq,NOUN,TN,models converting input sequences to output sequences,TN-01 General AI concepts and terminology,Concepts,General,Terminology
simulated annealing,SA,NOUN,TN,probabilistic optimization inspired by metallurgical annealing,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
situated approach,Nill,NOUN,TN,AI emphasizing embodiment and environmental interaction,TN-01 General AI concepts and terminology,Concepts,General,Terminology
softmax function,Nill,NOUN,TN,function converting values to probability distribution,TN-01 General AI concepts and terminology,Concepts,General,Terminology
software agent,Nill,NOUN,TN,computer program acting autonomously for users,TN-12 Names of agents and robotic systems,Systems,Robotics,General
solomonoff induction,Nill,NOUN,TN,universal prediction method based on algorithmic probability,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
sparse representation,Nill,NOUN,TN,representing data using few active elements,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
speech recognition,Nill,NOUN,TN,converting spoken language to text,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
speech synthesis,Nill,NOUN,TN,generating artificial human speech,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
state space,Nill,NOUN,TN,set of all possible states in a problem,TN-01 General AI concepts and terminology,Concepts,General,Terminology
statistical learning,Nill,NOUN,TN,learning patterns from data using statistics,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
stochastic gradient descent,SGD,NOUN,TN,optimization using gradients of random data subsets,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
strong ai,Nill,NOUN,TN,AI with human-level general intelligence,TN-01 General AI concepts and terminology,Concepts,General,Terminology
supervised learning,Nill,NOUN,TN,learning from labeled training data,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
support vector machine,SVM,NOUN,TN,classifier finding optimal hyperplane for separation,TN-01 General AI concepts and terminology,Concepts,General,Terminology
swarm intelligence,Nill,NOUN,TN,collective behavior of decentralized self-organized systems,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
symbolic ai,Nill,NOUN,TN,AI using symbolic representations and logical rules,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
synthetic data,Nill,NOUN,TN,artificially generated data mimicking real data,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
temporal difference learning,TD,NOUN,TN,RL method combining Monte Carlo and dynamic programming,TN-12 Names of agents and robotic systems,Systems,Robotics,General
tensor,Nill,NOUN,TN,multidimensional array used in deep learning computations,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
tensorflow,Nill,NOUN,TN,open-source machine learning framework by Google,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
text mining,Nill,NOUN,TN,extracting information from textual data,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
topic modeling,Nill,NOUN,TN,discovering abstract topics in document collections,TN-01 General AI concepts and terminology,Concepts,General,Terminology
training data,Nill,NOUN,TN,data used to train machine learning models,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
transfer learning,Nill,NOUN,TN,applying knowledge from one task to different task,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
transformer,Nill,NOUN,TN,architecture using self-attention for sequence modeling,TN-01 General AI concepts and terminology,Concepts,General,Terminology
turing machine,Nill,NOUN,TN,abstract mathematical model of computation,TN-01 General AI concepts and terminology,Concepts,General,Terminology
turing test,Nill,NOUN,TN,test of machine ability to exhibit intelligent behavior,TN-09 Metrics units and computational measures,Metrics,Evaluation,General
uncertainty quantification,UQ,NOUN,TN,characterizing and reducing uncertainties in predictions,TN-01 General AI concepts and terminology,Concepts,General,Terminology
underfitting,Nill,NOUN,TN,model too simple to capture underlying patterns,TN-01 General AI concepts and terminology,Concepts,General,Terminology
unsupervised learning,Nill,NOUN,TN,learning patterns from unlabeled data,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
utility function,Nill,NOUN,TN,function measuring the desirability of outcomes,TN-01 General AI concepts and terminology,Concepts,General,Terminology
validation,Nill,NOUN,TN,evaluating model on held-out data during training,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
vanishing gradient problem,Nill,NOUN,TN,gradients becoming too small during backpropagation,TN-01 General AI concepts and terminology,Concepts,General,Terminology
variational autoencoder,VAE,NOUN,TN,autoencoder learning latent distribution for generation,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
vector space model,Nill,NOUN,TN,representing text documents as vectors,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
vision transformer,ViT,NOUN,TN,transformer architecture applied to image recognition,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
weak ai,Nill,NOUN,TN,AI designed for specific narrow tasks,TN-01 General AI concepts and terminology,Concepts,General,Terminology
weight,Nill,NOUN,TN,learnable parameter in neural networks,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
word embedding,Nill,NOUN,TN,representing words as dense vectors in continuous space,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
word2vec,Nill,NOUN,TN,technique for learning word embeddings from text,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
xgboost,Nill,NOUN,TN,gradient boosting framework for efficient machine learning,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
zero-shot learning,Nill,NOUN,TN,recognizing objects without any training examples,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
